t	X1	X2
2395	0.882811043	0.875716941
2396	0.872499216	0.851490181
2397	0.772913969	0.879536948
2398	0.895994405	0.845767376
2399	1.063309616	0.782127899
2400	0.772991019	0.825351227
2401	0.894401415	0.776738519
2402	0.919037453	0.779205326
2403	0.835390247	0.779768642
2404	0.928884346	0.829460739
2405	0.952214047	0.786224444
2406	0.756956073	0.752355755
2407	0.912765107	0.782610634
2408	0.933155797	0.756123572
2409	0.841837664	0.688972327
2410	0.918922668	0.772732708
2411	0.84674617	0.716951389
2412	0.948184077	0.8454811
2413	0.965222485	0.78959295
2414	0.960632432	0.82365904
2415	0.875915294	0.771637781
2416	0.893809196	0.829012017
2417	0.944765139	0.783464135
2418	0.96194217	0.899431142
2419	0.892087134	0.882632431
2420	0.837249862	0.850954879
2421	0.898898345	0.834960569
2422	0.93256157	0.857992929
2423	0.901964873	0.899585283
2424	0.940432679	0.865382192
